ID,frequency,recency,T
2226,1,363.5373958,807.1074306
2238,0,0,681.4339468
2254,2,560.0459954,1132.37919
2281,2,498.119456,987.3424421
2289,1,489.2562963,909.4937037
2290,1,559.1514352,571.5458796
2292,0,0,97.5590162
2299,1,76.97741898,1175.066979
2306,0,0,391.2696759
2309,4,836.9847569,1061.544734
2329,1,175.1552894,760.3064583
2352,3,977.0069329,1086.481632
2361,1,224.5065278,854.671169
2368,0,0,599.3778009
2375,0,0,68.41608796
2401,0,0,13.285
2408,8,986.4817824,1002.604618
2420,1,815.2832292,889.3574421
2438,0,0,184.6719213
2442,1,11.80790509,125.3193403
2456,0,0,340.3744213
2473,0,0,793.0465972
2477,5,958.0896412,963.3121759
2479,2,689.3334491,1163.593785
2482,6,830.493588,906.5812616
2509,2,901.3254282,1052.590081
2515,1,37.84159722,1027.57088
2527,2,1030.082882,1109.249178
2539,6,1046.970903,1048.44735
2542,3,1026.244491,1093.679583
2547,1,773.7275579,908.2602431
2568,0,0,279.1794907
2569,1,209.2569444,579.3857639
2583,2,7.736296296,564.1643056
2594,0,0,568.0373032
2622,0,0,1141.541817
2646,3,711.002338,1131.017604
2648,1,987.7380903,996.4484722
2654,15,1103.829537,1131.359375
2674,0,0,346.5106944
2684,1,149.5414815,1126.123067
2704,1,196.4630324,724.1574074
2716,2,309.287963,766.576956
2721,0,0,699.4400579
2723,2,798.8644097,1085.42809
2724,1,198.9779282,863.1192593
2733,0,0,723.2001042
2784,1,425.3538542,555.651794
2807,0,0,866.2933449
2828,2,143.0065856,256.6281829
2829,1,23.4412963,1102.982639
2864,2,328.9541551,734.2437963
2884,4,639.8313773,1108.339502
2898,0,0,507.0986111
2901,1,5.748946759,920.3623032
2929,0,0,937.1889931
2944,0,0,1087.70309
2972,0,0,165.1951968
2984,2,430.4543981,1119.152604
2991,1,19.98804398,855.617338
3014,0,0,719.7449884
3032,0,0,379.4003009
3046,5,668.392662,1128.565301
3054,0,0,762.2780787
3072,0,0,734.4589005
3079,5,777.8397917,1093.325451
3089,0,0,155.098044
3103,11,1103.056273,1136.39456
3122,1,308.4539236,454.5394792
3126,0,0,1048.443299
3164,1,991.036088,1193.236331
3192,0,0,444.239456
3237,12,956.2123958,1131.659907
3241,3,317.0062616,561.5071875
3268,0,0,742.583669
3281,1,179.0632986,1126.223264
3290,0,0,939.1763079
3296,0,0,140.189456
3307,0,0,973.4882176
3309,1,392.7718056,769.2475347
3333,3,489.4966435,1041.137975
3352,2,769.6120718,1150.110023
3376,0,0,461.152963
3405,0,0,278.6453125
3448,3,901.8187616,933.4530903
3451,2,419.9310995,635.1239236
3455,1,235.8692245,638.3791782
3472,0,0,405.5743634
3507,3,457.1091551,769.2036343
3524,0,0,328.1327778
3526,0,0,1055.599039
3556,0,0,17.07987269
3608,0,0,12.15091435
3625,6,443.1809838,914.4984028
3636,1,77.72283565,742.288044
3661,0,0,187.2125463
3681,0,0,329.6595486
3684,2,406.0542245,746.3710764
3699,1,130.7226273,632.6339468
3700,0,0,447.3910301
3704,3,219.0128819,1010.348333
3706,6,933.2228125,1077.457546
3708,0,0,703.105706
3717,5,528.5741088,807.1896412
3719,0,0,315.6233218
3728,0,0,773.4146181
3734,1,1020.139792,1082.635463
3760,22,569.48125,1178.96956
3763,1,937.5790972,1066.095752
3767,0,0,1192.083229
3793,0,0,257.4887616
3794,0,0,698.2112269
3804,1,48.99407407,1042.140822
3805,9,680.9785417,998.4287616
3816,0,0,873.1706019
3819,0,0,455.5759144
3842,4,1052.718588,1067.296968
3847,0,0,396.0387847
3865,2,26.17715278,815.4325
3887,0,0,355.3146181
3889,0,0,1014.457292
3910,0,0,1140.15772
3931,2,882.1330093,1042.067269
3942,6,832.864838,1081.509456
3949,4,707.0653472,1194.534028
3953,0,0,1079.995822
3955,0,0,702.4042824
4012,0,0,160.3977546
4019,0,0,809.4948958
4030,2,198.8952083,311.453125
4061,2,111.4398611,1031.055174
4085,2,698.860162,884.1507292
4090,1,446.0652894,838.6233912
4095,0,0,381.6944329
4096,0,0,641.5713079
4097,1,821.8741898,1165.012025
4150,2,398.4110069,764.5678819
4180,1,22.9999537,37.30814815
4193,1,220.4991898,628.2009375
4230,0,0,480.1890972
4245,0,0,364.0343171
4260,0,0,287.5740972
4296,0,0,870.3894792
4305,0,0,742.9587847
4314,0,0,12.00663194
4318,1,663.0021875,676.0780208
4325,0,0,892.0087616
4338,0,0,1124.447546
4354,0,0,538.1845255
4365,1,211.6585995,603.2191551
4371,2,899.2209722,1143.514398
4382,1,484.0483912,739.0893866
4387,2,509.0708565,540.558287
4401,0,0,13.18956019
4404,1,316.4643519,1102.608889
4405,0,0,374.1103704
4407,0,0,742.4881713
4409,0,0,100.1852546
4413,2,268.5744329,1170.146574
4432,0,0,475.2159375
4450,0,0,468.3911458
4464,0,0,933.2051157
4474,0,0,676.5269097
4481,1,67.89262731,1101.525845
4485,1,342.9906134,734.3316435
4493,0,0,1063.29066
4497,4,849.8200579,1017.139988
4503,0,0,179.1296181
4517,1,104.2624421,779.4140394
4523,1,337.3154398,473.4076736
4541,0,0,377.2722222
4552,18,561.188044,1126.273056
4565,1,372.5467708,1141.729838
4569,0,0,568.4181829
4582,0,0,371.1181019
4588,0,0,264.8016435
4605,0,0,207.6928819
4631,0,0,1054.56515
4667,0,0,401.1387153
4669,1,334.4985301,515.6913542
4699,0,0,575.4896412
4705,2,238.9461806,845.2354977
4718,0,0,118.0433449
4726,1,68.02405093,1111.133426
4734,2,186.2924074,1043.375012
4745,1,3.34130787,617.5181829
4816,0,0,691.4621759
4817,2,694.3894097,1098.402245
4825,20,943.1285185,1189.552164
4849,0,0,657.1052546
4859,3,466.9740046,712.4237269
4877,8,910.1600694,1187.687697
4890,0,0,930.5850463
4899,0,0,1101.143171
4900,0,0,411.0220486
4909,7,1128.411505,1158.767569
4917,0,0,1104.050544
4927,0,0,983.358588
4929,0,0,665.0827546
4984,1,593.7386921,785.3851736
4988,0,0,557.2644444
4989,0,0,347.3580208
5006,0,0,581.2588773
5009,0,0,575.3048032
5017,0,0,733.3935764
5022,1,195.0686574,830.1645602
5037,1,283.2737269,743.4086227
5062,17,1075.980926,1130.254572
5070,8,1033.416227,1066.498981
5089,0,0,9.194085648
5092,3,500.2863079,677.4343981
5101,2,62.94684028,1154.549479
5110,0,0,370.1302431
5118,2,171.9260069,379.3863657
5143,0,0,689.0508912
5151,0,0,17.27373843
5158,0,0,444.5741319
5167,7,959.6449769,1115.180787
5172,3,259.4228125,802.2975347
5176,1,764.271169,1106.405833
5185,2,786.0265509,1077.48419
5188,5,400.2047801,1124.228542
5216,0,0,536.2462616
5217,0,0,1124.609514
5232,2,340.0183218,825.1226273
5238,1,355.0380556,1074.066134
5243,0,0,83.13184028
5249,3,322.303831,1017.631481
5250,1,511.7723495,936.9893634
5268,0,0,311.4435185
5313,0,0,526.2271644
5317,0,0,1082.410347
5355,2,1062.228067,1094.470139
5388,3,583.8875926,989.0520718
5400,4,498.1045833,852.4132407
5405,4,549.6852431,1108.329074
5406,2,247.638206,809.9957407
5427,0,0,134.1437616
5431,0,0,495.9924769
5433,6,1002.001898,1112.585995
5458,0,0,654.0474074
5465,1,459.4420139,1067.038634
5491,6,333.4113889,1180.82625
5545,1,50.08611111,217.2614236
5565,0,0,1098.403704
5572,3,304.3229977,341.4737963
5576,0,0,1183.510833
5577,3,734.1789236,831.3988542
5580,1,125.0090741,650.201794
5583,0,0,752.0947338
5611,1,8.045914352,770.3885301
5613,10,947.2024884,1124.544028
5626,0,0,920.6514583
5657,0,0,698.0758912
5668,0,0,456.4107986
5675,0,0,559.7266782
5689,0,0,306.3578472
5691,0,0,564.2663542
5706,5,813.9232639,1118.377616
5733,0,0,316.316956
5739,3,556.1988194,675.4615278
5745,0,0,513.1311806
5775,2,842.0703819,856.2015509
5792,0,0,543.0046412
5798,3,374.7241435,985.2317014
5801,1,623.0248843,740.1981481
5812,0,0,626.6278009
5821,0,0,1123.361771
5844,0,0,609.1765046
5849,0,0,1164.531748
5858,1,717.3983449,1118.98162
5885,1,82.20915509,670.3618866
5916,0,0,689.3158912
5926,0,0,963.6556134
5946,6,986.12625,1193.599745
5958,0,0,1162.534016
5993,0,0,985.5511227
6010,0,0,676.3793866
